prediction_date,target_date,symbol,model_type,predicted_price,actual_price,absolute_error,percentage_error,relative_error,accuracy
2025-07-14,2025-07-15,AMZN,lstm,221.41,226.3500061035156,4.9400061035156,2.1824634284553146,-2.1824634284553146,97.81753657154468
2025-07-14,2025-07-15,AAPL,lstm,210.81,209.1100006103516,1.6999993896484114,0.8129689563801072,0.8129689563801072,99.1870310436199
2025-07-14,2025-07-15,GOOGL,lstm,178.56,182.0,3.4399999999999977,1.8901098901098887,-1.8901098901098887,98.10989010989012
2025-07-14,2025-07-15,005930.KS,lstm,61946.26,63700.0,1753.739999999998,2.7531240188383013,-2.7531240188383013,97.2468759811617
2025-07-14,2025-07-15,2317.TW,lstm,161.57,163.0,1.4300000000000068,0.8773006134969367,-0.8773006134969367,99.12269938650306
2025-07-14,2025-07-15,MSFT,lstm,490.92,505.8200073242188,14.900007324218791,2.945713318664407,-2.945713318664407,97.0542866813356
2025-07-14,2025-07-15,JD,lstm,31.06,32.040000915527344,0.980000915527345,3.0586794242331417,-3.0586794242331417,96.94132057576685
2025-07-14,2025-07-15,BABA,lstm,106.62,116.97000122070312,10.35000122070312,8.848423623741247,-8.848423623741247,91.15157637625876
2025-07-14,2025-07-15,T,lstm,27.1,27.020000457763672,0.07999954223632955,0.29607528083273305,0.29607528083273305,99.70392471916726
2025-07-14,2025-07-15,META,lstm,719.51,710.3900146484375,9.119985351562491,1.283799766819055,1.283799766819055,98.71620023318094
2025-07-14,2025-07-15,AMZN,lstm_senti,221.88,226.3500061035156,4.470006103515601,1.974820403349737,-1.974820403349737,98.02517959665026
2025-07-14,2025-07-15,AAPL,lstm_senti,210.66,209.1100006103516,1.5499993896484057,0.7412363756512159,0.7412363756512159,99.25876362434879
2025-07-14,2025-07-15,GOOGL,lstm_senti,177.95,182.0,4.050000000000011,2.2252747252747316,-2.2252747252747316,97.77472527472527
2025-07-14,2025-07-15,005930.KS,lstm_senti,62037.12,63700.0,1662.8799999999974,2.610486656200938,-2.610486656200938,97.38951334379907
2025-07-14,2025-07-15,2317.TW,lstm_senti,163.2,163.0,0.19999999999998863,0.1226993865030605,0.1226993865030605,99.87730061349694
2025-07-14,2025-07-15,MSFT,lstm_senti,500.58,505.8200073242188,5.240007324218823,1.0359430723071616,-1.0359430723071616,98.96405692769284
2025-07-14,2025-07-15,JD,lstm_senti,31.13,32.040000915527344,0.9100009155273447,2.840202526605849,-2.840202526605849,97.15979747339415
2025-07-14,2025-07-15,BABA,lstm_senti,106.58,116.97000122070312,10.390001220703127,8.88262042598333,-8.88262042598333,91.11737957401667
2025-07-14,2025-07-15,T,lstm_senti,27.38,27.020000457763672,0.35999954223632713,1.3323446933284129,1.3323446933284129,98.66765530667159
2025-07-14,2025-07-15,META,lstm_senti,722.65,710.3900146484375,12.259985351562477,1.7258104842070139,1.7258104842070139,98.27418951579298
2025-07-15,2025-07-16,AMZN,lstm,222.66,223.19000244140625,0.5300024414062534,0.23746692755442492,-0.23746692755442492,99.76253307244558
2025-07-15,2025-07-16,AAPL,lstm,209.75,210.16000366210935,0.4100036621093466,0.19509119478725434,-0.19509119478725434,99.80490880521275
2025-07-15,2025-07-16,GOOGL,lstm,180.49,182.97000122070312,2.480001220703116,1.3554141138752438,-1.3554141138752438,98.64458588612476
2025-07-15,2025-07-16,005930.KS,lstm,62504.18,64700.0,2195.8199999999997,3.3938485316846982,-3.3938485316846982,96.6061514683153
2025-07-15,2025-07-16,2317.TW,lstm,160.55,162.5,1.9499999999999886,1.199999999999993,-1.199999999999993,98.80000000000001
2025-07-15,2025-07-16,MSFT,lstm,491.99,505.6199951171875,13.629995117187491,2.6956993886344365,-2.6956993886344365,97.30430061136556
2025-07-15,2025-07-16,JD,lstm,30.8,31.63999938964844,0.8399993896484403,2.654865378800419,-2.654865378800419,97.34513462119958
2025-07-15,2025-07-16,BABA,lstm,107.78,115.7300033569336,7.950003356933593,6.8694401851992115,-6.8694401851992115,93.13055981480079
2025-07-15,2025-07-16,T,lstm,26.95,26.950000762939453,7.629394538355427e-07,2.830944089933779e-06,-2.830944089933779e-06,99.99999716905592
2025-07-15,2025-07-16,META,lstm,717.47,702.9099731445312,14.560026855468777,2.071392840015227,2.071392840015227,97.92860715998478
2025-07-15,2025-07-16,AMZN,lstm_senti,223.19,223.19000244140625,2.4414062522737368e-06,1.0938690020018597e-06,-1.0938690020018597e-06,99.999998906131
2025-07-15,2025-07-16,AAPL,lstm_senti,209.38,210.16000366210935,0.7800036621093511,0.3711475297475841,-0.3711475297475841,99.62885247025241
2025-07-15,2025-07-16,GOOGL,lstm_senti,179.76,182.97000122070312,3.210001220703134,1.7543866203679739,-1.7543866203679739,98.24561337963203
2025-07-15,2025-07-16,005930.KS,lstm_senti,62753.88,64700.0,1946.1200000000026,3.007913446676975,-3.007913446676975,96.99208655332302
2025-07-15,2025-07-16,2317.TW,lstm_senti,162.35,162.5,0.15000000000000568,0.09230769230769581,-0.09230769230769581,99.9076923076923
2025-07-15,2025-07-16,MSFT,lstm_senti,501.62,505.6199951171875,3.9999951171874955,0.7911069886111639,-0.7911069886111639,99.20889301138884
2025-07-15,2025-07-16,JD,lstm_senti,30.88,31.63999938964844,0.759999389648442,2.402020873290815,-2.402020873290815,97.59797912670919
2025-07-15,2025-07-16,BABA,lstm_senti,107.76,115.7300033569336,7.970003356933589,6.886721788430754,-6.886721788430754,93.11327821156925
